    Hinst Name                                                         Module Name                  Inst Count           Total Area
--------------------------------------------------------------------------------------------------------------------------------
top                                                                                                       2222             6593.342
          u_systolic_array_top/sys_array/row[0].col[27].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102318          3               15.960
          u_systolic_array_top/sys_array/row[0].col[27].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106476          2               10.640
      u_systolic_array_top/sys_array/row[0].col[28].pe                 processing_element_N64_62649         12               41.762
        u_systolic_array_top/sys_array/row[0].col[28].pe/u_fp32_mac    fp32_mac_102380                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[28].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102317          3               15.960
          u_systolic_array_top/sys_array/row[0].col[28].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106475          2               10.640
      u_systolic_array_top/sys_array/row[0].col[29].pe                 processing_element_N64_62648         12               41.762
        u_systolic_array_top/sys_array/row[0].col[29].pe/u_fp32_mac    fp32_mac_102379                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[29].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102316          3               15.960
          u_systolic_array_top/sys_array/row[0].col[29].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106474          2               10.640
      u_systolic_array_top/sys_array/row[0].col[2].pe                  processing_element_N64_62675         12               41.762
        u_systolic_array_top/sys_array/row[0].col[2].pe/u_fp32_mac     fp32_mac_102406                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[2].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102343          3               15.960
          u_systolic_array_top/sys_array/row[0].col[2].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106501          2               10.640
      u_systolic_array_top/sys_array/row[0].col[30].pe                 processing_element_N64_62647         12               41.762
        u_systolic_array_top/sys_array/row[0].col[30].pe/u_fp32_mac    fp32_mac_102378                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[30].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102315          3               15.960
          u_systolic_array_top/sys_array/row[0].col[30].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106473          2               10.640
      u_systolic_array_top/sys_array/row[0].col[31].pe                 processing_element_N64_62646         12               41.762
        u_systolic_array_top/sys_array/row[0].col[31].pe/u_fp32_mac    fp32_mac_102377                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[31].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102314          3               15.960
          u_systolic_array_top/sys_array/row[0].col[31].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106472          2               10.640
      u_systolic_array_top/sys_array/row[0].col[32].pe                 processing_element_N64_62645         12               41.762
